folder,folder_digitized,pdf_id,num_interviews,interview_num,header,subheader,location,interviewer,title
190,yes,796,1,1,"Hornsby, Hall, Booth (interviewers): ""..Maybe We'll Save a Little Money""","Nicholas Chivilis, 1885, Arvanlokerasser, Greece, Greek, candy kitchen operator; Pete Nicholas Chivilis, no date given, Jackson County, white, candy kitchen operator, Athens, 8 February, 11 and 25 July 1939","#03709, Subseries: ""1.3. Georgia."" Folder 190","Hornsby, Hall, Booth (interviewers)","""..Maybe We'll Save a Little Money"""
191,yes,839,1,1,Hornsby and Grace McCune (interviewers): Grocery Store,"O. J. Coffer, 1899, Jefferson, white, grocer, Athens, 3 August 1939","#03709, Subseries: ""1.3. Georgia."" Folder 191",Hornsby and Grace McCune (interviewers),Grocery Store
192,yes,857,1,1,"Hornsby, Hall, Harris (interviewers): A W.P.A. Worker","Janie Harris, 1900, Clarke County, white, WPA worker, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 192","Hornsby, Hall, Harris (interviewers)",A W.P.A. Worker
193,yes,834,1,1,"Hornsby, Hall, Booth (interviewers): The Barbecue Stand","Robert Walker, no date given, Warrenton, black, barbecue stand operator; Gladys Walker, Bogart, black, barbecue stand operator, Athens, 10 and 19 April 1939","#03709, Subseries: ""1.3. Georgia."" Folder 193","Hornsby, Hall, Booth (interviewers)",The Barbecue Stand
194,yes,829,1,1,"Hornsby, Hall, Booth (interviewers): The Poro Beauty Shoppe","Mrs. L. A. Crane, circa 1903, Watkinsville, black, beauty shop operator, Athens, 4 and 5 April 1939","#03709, Subseries: ""1.3. Georgia."" Folder 194","Hornsby, Hall, Booth (interviewers)",The Poro Beauty Shoppe
195,yes,814,1,1,"Hornsby, Hall, Booth (interviewers): The Red, White, and Blue Barber Shop","Henry T. Brunblett, 1875, Gwinnet County, white, barber, Athens, 30 March 1939","#03709, Subseries: ""1.3. Georgia."" Folder 195","Hornsby, Hall, Booth (interviewers)","The Red, White, and Blue Barber Shop"
196,yes,812,1,1,Hornsby and Hall (interviewers): An Air-Minded Family,"Omie Williams, Neese, white, widow, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 196",Hornsby and Hall (interviewers),An Air-Minded Family
197,yes,847,1,1,Hornsby and Hall (interviewers): Mildred Lawson,"Sue S. White, circa 1897, South Georgia, white, beautician, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 197",Hornsby and Hall (interviewers),Mildred Lawson
198,yes,827,1,1,Hornsby and Browder (interviewers): A Negro Insurance Executive,"A. W. Parker, 1900, Georgetown, black, insurance executive, 13 April 1939","#03709, Subseries: ""1.3. Georgia."" Folder 198",Hornsby and Browder (interviewers),A Negro Insurance Executive
199,yes,821,1,1,Hornsby and Browder (interviewers): Another version of the above interview,,"#03709, Subseries: ""1.3. Georgia."" Folder 199",Hornsby and Browder (interviewers),Another version of the above interview
200,yes,856,1,1,"Hornsby, Hall, Booth (interviewers): The Life of a Lawyer","Joseph Eliot Web, 1907, middle Georgia, white, lawyer, Athens, 16 and 23 February, and 6 March 1939","#03709, Subseries: ""1.3. Georgia."" Folder 200","Hornsby, Hall, Booth (interviewers)",The Life of a Lawyer
201,yes,840,1,1,"Hornsby, Hall, Booth (interviewers): I Got My Education the Hard Way","James W. Davis, 1871, Athens, black, mail carrier, school teacher, music teacher, bandmaster, Athens, 16 May, and 28 June 1939","#03709, Subseries: ""1.3. Georgia."" Folder 201","Hornsby, Hall, Booth (interviewers)",I Got My Education the Hard Way
202,yes,811,1,1,"Jenkins, William (interviewer): ..And Hopes 'At Somebody Will Come Along To Talk To","Archie George, circa 1889, Lithonia, black, cripple, Atlanta, 17 November 1939","#03709, Subseries: ""1.3. Georgia."" Folder 202","Jenkins, William (interviewer)",..And Hopes 'At Somebody Will Come Along To Talk To
203,yes,824,1,1,"McCune, Grace (interviewer): Day in a Department Store","Abe Link, proprietor, and various salespersons: Maud Elliott, F. McEntire, Mell McCurrdy, Athens, 24 January 1939","#03709, Subseries: ""1.3. Georgia."" Folder 203","McCune, Grace (interviewer)",Day in a Department Store
204,yes,781,1,1,"McCune, Hall, Harris (interviewers): A Farming Preacher-Prophet","Nick Waller, circa 1874, no place given, black, farmer-preacher, Athens, 6, 7, and 17 March 1939","#03709, Subseries: ""1.3. Georgia."" Folder 204","McCune, Hall, Harris (interviewers)",A Farming Preacher-Prophet
205,yes,836,1,1,"McCune, Hall, Booth (interviewers): Mammy","Annie Grady Emerick, [1880?], no place given, white, Athens, 20 December 1938, and 6 January 1939","#03709, Subseries: ""1.3. Georgia."" Folder 205","McCune, Hall, Booth (interviewers)",Mammy
206,yes,826,1,1,"McCune, Hall, Booth (interviewers): A Visit with Aunt Jerry","Josephine Wood, 1861, Barnett Shoals, white, housewife, Athens, 13 January and 16 February 1939","#03709, Subseries: ""1.3. Georgia."" Folder 206","McCune, Hall, Booth (interviewers)",A Visit with Aunt Jerry
207,yes,804,1,1,"McCune, Hall, Booth (interviewers): A Session of the City Court","Vincent Mathews, [1880?], Athens, white, judge, Athens, 10, and 17 April 1939","#03709, Subseries: ""1.3. Georgia."" Folder 207","McCune, Hall, Booth (interviewers)",A Session of the City Court
208,yes,850,1,1,"McCune, Hall, Booth (interviewers): Negro Fraternal Insurance","R.Harris, no date given, no place given, insurance executive, Athens, 13 and 24 April 1939","#03709, Subseries: ""1.3. Georgia."" Folder 208","McCune, Hall, Booth (interviewers)",Negro Fraternal Insurance
209,yes,795,1,1,"McCune, Hall, Booth (interviewers): Bus Drivers","F.A. Taylor, no date given, no place given, white, manager city bus-line, Athens, 10 and 13 April 1939","#03709, Subseries: ""1.3. Georgia."" Folder 209","McCune, Hall, Booth (interviewers)",Bus Drivers
210,yes,778,1,1,"McCune, Grace (interviewers): A Versatile Craftswoman","Margaret Davis, 1887, Princeton, white, tailor, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 210","McCune, Grace (interviewers)",A Versatile Craftswoman
211,yes,835,1,1,McCune and Hall (interviewers): Coffins and Caskets,"W. P. Hopson, no date given, no place given, black, undertaker, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 211",McCune and Hall (interviewers),Coffins and Caskets
212,yes,798,1,1,"McCune, Grace (interviewer): The Tale of a Tailoress","Margaret Davis, 1887, Princeton, white, tailor, Athens, 9 December 1939","#03709, Subseries: ""1.3. Georgia."" Folder 212","McCune, Grace (interviewer)",The Tale of a Tailoress
213,yes,815,1,1,"McCune, Hall, Booth (interviewers): Maid of All Work","Julia Hicks, 1887, Athens, black, housemaid, laundress, nurse, Athens, 16 and 23 March 1939","#03709, Subseries: ""1.3. Georgia."" Folder 213","McCune, Hall, Booth (interviewers)",Maid of All Work
214,yes,818,1,1,"McCune, Hall, Booth (interviewers): A Negro Dentist","Dr. S. S. Jackson, no date given, Athens, black, dentist, Athens, 14 March 1939","#03709, Subseries: ""1.3. Georgia."" Folder 214","McCune, Hall, Booth (interviewers)",A Negro Dentist
215,yes,805,1,1,"McCune, Grace (interviewer): I Lak's a Good Livin","Cornelia Peterson, no date given, Morgan County, black, sewing room, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 215","McCune, Grace (interviewer)",I Lak's a Good Livin
216,yes,799,1,1,"McCune, Hall, Booth (interviewers): All I Do is Just Heads","Daisy M. Johnson, no date given, no place given, black, beautician, Athens, 26 April and 4 May 1939","#03709, Subseries: ""1.3. Georgia."" Folder 216","McCune, Hall, Booth (interviewers)",All I Do is Just Heads
217,yes,828,1,1,"McCune, Hall, Booth (interviewers): The Oldest Barber in Town","R. M. Davis, 1893, [Athens?], white barber, Athens, 28 March and 4 April 1939","#03709, Subseries: ""1.3. Georgia."" Folder 217","McCune, Hall, Booth (interviewers)",The Oldest Barber in Town
218,yes,822,1,1,McCune and Hall (interviewers): The Woman Dentist,"Dr. Ida Mae Hiram, [1895?], Athens, black, dentist, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 218",McCune and Hall (interviewers),The Woman Dentist
219,yes,801,1,1,"McCune, Hall, Booth (interviewers): The Waiting Room in a Bus Station","W. T. Sullivan, no date given, no place given, white, bus-station manager; Mrs. W. T. Sullivan, white, bus-station manager, Athens, 27, 29 March, and 6 April 1939","#03709, Subseries: ""1.3. Georgia."" Folder 219","McCune, Hall, Booth (interviewers)",The Waiting Room in a Bus Station
220,yes,844,1,1,"McCune, Grace (interviewer): The City Blacksmith","John Henry Middlebrooks, [1880?], Oconee County, black, blacksmith, Athens, 8 June 1939","#03709, Subseries: ""1.3. Georgia."" Folder 220","McCune, Grace (interviewer)",The City Blacksmith
221,yes,786,1,1,"McCune, Hall, Booth (interviewers): The Bargain House","J. Buford Dudley, 1887, Combs, white, merchant, Athens, 16 February, and 2 March 1939","#03709, Subseries: ""1.3. Georgia."" Folder 221","McCune, Hall, Booth (interviewers)",The Bargain House
222,yes,853,1,1,"McCune, Hall, Booth (interviewers): The Lilac Beauty Shop","Farrie Emerick, no date given, no place given, white, beautician; Edna Seagraves, no date given, no place given, white beautician, Athens, 1 and 18 February 1939","#03709, Subseries: ""1.3. Georgia."" Folder 222","McCune, Hall, Booth (interviewers)",The Lilac Beauty Shop
223,yes,806,1,1,McCune and Hall (interviewers): The Boarding House Operator,"Texie Gordon, no date given, no place given, white, boarding house operator, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 223",McCune and Hall (interviewers),The Boarding House Operator
224,yes,831,1,1,"McCune, Hall, Booth (interviewers): The Capital City Insurance Company","J. H. Robertson, 1905, South Georgia, black, insurance company manager, Athens, 14 and 27 April, 6 June, 7 and 10 July 1939","#03709, Subseries: ""1.3. Georgia."" Folder 224","McCune, Hall, Booth (interviewers)",The Capital City Insurance Company
225,yes,791,1,1,"McCune, Hall, Booth (interviewers): Another version of the above interview",,"#03709, Subseries: ""1.3. Georgia."" Folder 225","McCune, Hall, Booth (interviewers)",Another version of the above interview
226,yes,794,1,1,"McCune, Hall, Booth (interviewers): You Have To Get It While They're Crying","Lamar J. Johnson, [1922?], no place given, black, embalmer; Tom Johnson, no date given, no place given, black, undertaker, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 226","McCune, Hall, Booth (interviewers)",You Have To Get It While They're Crying
227,yes,852,1,1,"McCune, Hall, Harris, and Booth (interviewers): A Patent Medicine Vendor","Grace Crowder, no date given, no place given, white, patent medicine vendor, Athens, 28 February and 14 March 1939","#03709, Subseries: ""1.3. Georgia."" Folder 227","McCune, Hall, Harris, and Booth (interviewers)",A Patent Medicine Vendor
228,yes,832,1,1,"McCune, Grace (interviewer): Cindy Wright","Mariah Jackson, 1861, Notasluga, black, midwife, Athens, 13 December 1938","#03709, Subseries: ""1.3. Georgia."" Folder 228","McCune, Grace (interviewer)",Cindy Wright
229,yes,800,1,1,"McCune, Grace (interviewer): A Visit to A Flower Shop","Willow Jones, no date given, no place given, white, flower shop proprietor, Athens, 12 March 1939","#03709, Subseries: ""1.3. Georgia."" Folder 229","McCune, Grace (interviewer)",A Visit to A Flower Shop
230,yes,848,1,1,"McCune, Hall, Booth (interviewers): A Negro Funeral `Director","James Mack, no date given, no place given, black, undertaker, Athens, 9 and 23 March 1939","#03709, Subseries: ""1.3. Georgia."" Folder 230","McCune, Hall, Booth (interviewers)",A Negro Funeral `Director
231,yes,830,1,1,"McCune, Hall, Booth (interviewers): ""Yes, Lord, I'se Done Tried to Serve You Faithful""","Isaiah Hunter, 1868, White Hall, black, preacher, Athens, 12 and 27 July 1939","#03709, Subseries: ""1.3. Georgia."" Folder 231","McCune, Hall, Booth (interviewers)","""Yes, Lord, I'se Done Tried to Serve You Faithful"""
232,yes,803,1,1,"McCune, Hall, Booth (interviewers): Old Shoe Comfort in New Shoe Appearance","Luther Holcomb, no date given, Athens, white, shoemaker, Athens, 5, 19 June, and 15 July 1939","#03709, Subseries: ""1.3. Georgia."" Folder 232","McCune, Hall, Booth (interviewers)",Old Shoe Comfort in New Shoe Appearance
233,yes,837,1,1,"McCune, Hall, Harris (interviewers): ""A Customer is Always Right""","Samuel August Sheats, 1912, Athens, black, grocery store and barbershop proprietor, Athens, 7 July and 3 August 1939","#03709, Subseries: ""1.3. Georgia."" Folder 233","McCune, Hall, Harris (interviewers)","""A Customer is Always Right"""
234,yes,813,1,1,"McCune, Hall, Booth (interviewers): Veterinarian, Poet, and Politician","Dr. W. M. Burson, 1874, Ohio, white, veterinarian, Athens, 29 June and 18 July 1939","#03709, Subseries: ""1.3. Georgia."" Folder 234","McCune, Hall, Booth (interviewers)","Veterinarian, Poet, and Politician"
235,yes,845,1,1,"McCune, Hall, Booth (interviewers): ""I Like America""","Mamie Lewis, 1896, Beirut, Syria, Syrian, part owner dry goods store, Athens, 10 and 25 July 1939","#03709, Subseries: ""1.3. Georgia."" Folder 235","McCune, Hall, Booth (interviewers)","""I Like America"""
236,yes,817,1,1,McCune and Hall (interviewers): Madame Lucy,"Annie Mains, no date given, between Watkinsville and Athens, black, beautician, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 236",McCune and Hall (interviewers),Madame Lucy
237,yes,843,1,1,"McCune, Hall, Booth (interviewers): Susie Ray","Jannie Favors, 1892, Rayle, black, restaurant proprietor, Athens, 23 June 1939","#03709, Subseries: ""1.3. Georgia."" Folder 237","McCune, Hall, Booth (interviewers)",Susie Ray
238,yes,802,1,1,"McCune, Hall, Harris (interviewers): The Fishermen","J. H. Emerick, circa 1864, no place given, white, fisherman, Athens, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 238","McCune, Hall, Harris (interviewers)",The Fishermen
239,yes,855,1,1,McCune and N. C. Browder (interviewers): Woman Florist,"Willie Jones, no date given, no place given, white, flower shop proprietor, Athens, 21 February 1939","#03709, Subseries: ""1.3. Georgia."" Folder 239",McCune and N. C. Browder (interviewers),Woman Florist
240,yes,807,1,1,"Phillips, W. (interviewer): Wood Engraver in Paradise","C. W. Stambaugh, no date given, no place given, white, wood engraver, Demorest, 1 February 1939","#03709, Subseries: ""1.3. Georgia."" Folder 240","Phillips, W. (interviewer)",Wood Engraver in Paradise
241,yes,851,1,1,"Rice, M. D., A. G. Barie, and N. C. Browder (interviewers): Guess We Had Moving Fever","David Melvin, [Pickens County?], white, tenant farmer, Power Springs, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 241","Rice, M. D., A. G. Barie, and N. C. Browder (interviewers)",Guess We Had Moving Fever
242,yes,788,1,1,"Rose, Annie A. (interviewer): Clairvoyant","Prof. W. L. Harris, 1907, Birmingham, Ala., white, clairvoyant, Macon, 20 January 1939","#03709, Subseries: ""1.3. Georgia."" Folder 242","Rose, Annie A. (interviewer)",Clairvoyant
243,yes,792,1,1,"Rose, Annie A. (interviewer): Untitled","W. L. Keenan, [1898?], Georgia, white, saleslady, Macon, 20 January 1939","#03709, Subseries: ""1.3. Georgia."" Folder 243","Rose, Annie A. (interviewer)",Untitled
244,yes,816,1,1,"Rose, Annie A. (interviewer): Janice","Carolyn Ball, no date given, Moultrie, white, WPA typist, Macon, 19 January 1939","#03709, Subseries: ""1.3. Georgia."" Folder 244","Rose, Annie A. (interviewer)",Janice
245,yes,854,1,1,"Rose, Annie A. (interviewer): Untitled","Lizzie Mercer, no date given, no place given, black, unemployed, Macon, 1 May 1939","#03709, Subseries: ""1.3. Georgia."" Folder 245","Rose, Annie A. (interviewer)",Untitled
246,yes,783,1,1,"Rose, Annie A. (interviewer): So We Can Have Things Like Other Folks","Sarah Myers, [1900?], Macon, white, textile worker, Macon, 5 May 1939","#03709, Subseries: ""1.3. Georgia."" Folder 246","Rose, Annie A. (interviewer)",So We Can Have Things Like Other Folks
247,yes,790,1,1,"Rose, Annie A. (interviewer): Untitled","Sarah Howard, no date given, no place given, black, housemaid, Macon, 28 February 1939","#03709, Subseries: ""1.3. Georgia."" Folder 247","Rose, Annie A. (interviewer)",Untitled
248,yes,779,1,1,"Russell, Maurice. (interviewer): Homer L. Pike","Homer L. Pike, 1901, Fort Moultrie, Ala., white, textile worker, Atlanta, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 248","Russell, Maurice. (interviewer)",Homer L. Pike
249,yes,819,1,1,"Russell, Maurice (interviewer): Nightwatchman","no name given, circa 1873, no place given, white, night watchman, Atlanta, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 249","Russell, Maurice (interviewer)",Nightwatchman
250,yes,785,1,1,"Russell, Maurice (interviewer): Life History","Mrs. Same E. Whelchel, circa 1905, Banks County, white, housewife, Atlanta, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 250","Russell, Maurice (interviewer)",Life History
251,yes,838,1,1,"Russell, Maurice (interviewer): Untitled","Mrs. Joe P. Stroh, circa 1914, Cobb County, white, housewife, Atlanta, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 251","Russell, Maurice (interviewer)",Untitled
252,yes,717,1,1,"Sieg, Gerald Chan (interviewer): Laundryman","Chung Tai-pan, [1870?], China, Chinese, laundry operator, Atlanta, 20 January 1939","#03709, Subseries: ""1.3. Georgia."" Folder 252","Sieg, Gerald Chan (interviewer)",Laundryman
253,yes,700,1,1,"Thorpe, Virginia (interviewer): Root Doctor","""Ma"" [Liza] Williams, circa 1836, no place given, black, root doctor, Atlanta, 13 January 1939","#03709, Subseries: ""1.3. Georgia."" Folder 253","Thorpe, Virginia (interviewer)",Root Doctor
254,yes,738,1,1,"Tonsill, Geneva (interviewer): I Managed To Carry On","Eugenia Martin, no date given, no place given, black, WPA worker, housekeeping aide, Atlanta, November 1939","#03709, Subseries: ""1.3. Georgia."" Folder 254","Tonsill, Geneva (interviewer)",I Managed To Carry On
255,yes,742,1,1,"Tonsill, Geneva (interviewer): I's Still Traveling 'Cause I got Faith in God","Benjamin Johnson, circa 1843, Troupe County, black, ex-slave, Atlanta, September 1939","#03709, Subseries: ""1.3. Georgia."" Folder 255","Tonsill, Geneva (interviewer)",I's Still Traveling 'Cause I got Faith in God
256,yes,725,1,1,"Tonsill, Geneva (interviewer): Untitled","Lucy Reeves, no date given, Clarke County, black, teacher, Atlanta, 21 June 1939","#03709, Subseries: ""1.3. Georgia."" Folder 256","Tonsill, Geneva (interviewer)",Untitled
257,yes,744,1,1,"Tonsill, Geneva (interviewer): Unable to Stage a Comeback","F. Hodge, no date given, no place given, black, WPA worker, librarian government housing project, Atlanta, 27 October 1939","#03709, Subseries: ""1.3. Georgia."" Folder 257","Tonsill, Geneva (interviewer)",Unable to Stage a Comeback
258,yes,731,1,1,"Tonsill, Geneva (interviewer): The Voice of God Spoke to Me","Jibson Littlejohn, 1855, Union County, S.C., black, preacher, Atlanta, November 1939","#03709, Subseries: ""1.3. Georgia."" Folder 258","Tonsill, Geneva (interviewer)",The Voice of God Spoke to Me
259,yes,685,1,1,"Tonsill, Geneva (interviewer): The 'Lil Black Girl","Annie Jackson, 1904, Thomson, black, maid, Atlanta, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 259","Tonsill, Geneva (interviewer)",The 'Lil Black Girl
260,yes,701,1,1,"Tonsill, Geneva (interviewer): The Lord was with Me","G. L. Beasley, circa 1897, Tennessee, black, preacher, Atlanta, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 260","Tonsill, Geneva (interviewer)",The Lord was with Me
261,yes,715,1,1,"Tonsill, Geneva (interviewer): I'se Always Had a Hard Time","Julia Brown [Aunt Sally], circa 1852, Commerce, black, ex-slave, Atlanta, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 261","Tonsill, Geneva (interviewer)",I'se Always Had a Hard Time
262,yes,674,1,1,"Upshaw, Jacques (interviewer): The Family of an Automobile Worker","Mrs. Same E. Whelchel, circa 1905, Cobb County, white, housewife, Atlanta, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 262","Upshaw, Jacques (interviewer)",The Family of an Automobile Worker
263,yes,718,1,1,"Upshaw, Jacques (interviewer): The Man Who Lives in the House By the Side of the Road","E. J. Tull, circa 1839, [Georgia?], white, teacher, Ellgay, December 1938","#03709, Subseries: ""1.3. Georgia."" Folder 263","Upshaw, Jacques (interviewer)",The Man Who Lives in the House By the Side of the Road
264,yes,770,1,1,"Vining, Mary (interviewer): The Story of Selina W.","Sara Wolf, 1885, Rocky Ford, white, housewife, Savannah, 19 January 1939","#03709, Subseries: ""1.3. Georgia."" Folder 264","Vining, Mary (interviewer)",The Story of Selina W.
265,yes,665,1,1,Deleted,,"#03709, Subseries: ""1.3. Georgia."" Folder 265",,Deleted
266,yes,711,1,1,"No Author: ""Let Me Live!""","Carlmon Hamilton, 1913, Norwood, Alabama, black, student, Macon, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 266",No Author,"""Let Me Live!"""
267,yes,691,1,1,No Author: Nannie Hawkins,"Nannie Hawkins, circa 1914, Macon, black, cook, Pine Mountain Valley, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 267",No Author,Nannie Hawkins
268,yes,776,1,1,No Author: Untitled,"Various individuals at WPA experimental farm community, Pine Mountain Valley, Georgia, July 1939","#03709, Subseries: ""1.3. Georgia."" Folder 268",No Author,Untitled
269,yes,703,1,1,No Author: Not a Life Story,"Mr. Antipodes, no date given, Mllst, Greece, Greek, operator Ice Cream plant, Atlanta, no date given","#03709, Subseries: ""1.3. Georgia."" Folder 269",No Author,Not a Life Story
270,yes,680,1,1,"Breaux, Hazel (interviewer): Settled Down","Granville Brooks, [1879?], Charleston, Alabama, black, cook, New Orleans, no date given","#03709, Subseries: ""1.4. Louisiana."" Folder 270","Breaux, Hazel (interviewer)",Settled Down
271,yes,673,1,1,"McKinney, Robert (interviewer): My W.P.A. Man","Marguerite Clark, no date given, New Orleans, black, cook, New Orleans, no date given","#03709, Subseries: ""1.4. Louisiana."" Folder 271","McKinney, Robert (interviewer)",My W.P.A. Man
272,yes,752,1,1,"McKinney, Robert (interviewer): Chimney Sweeper's Holiday","John Simms, no date given, New Orleans, black, chimney sweep, New Orleans, no date given","#03709, Subseries: ""1.4. Louisiana."" Folder 272","McKinney, Robert (interviewer)",Chimney Sweeper's Holiday
273,yes,713,1,1,No Author: A Shrimp Fisherman,"no name given, no date given, New Orleans, shrimp fisherman, New Orleans, no date given","#03709, Subseries: ""1.4. Louisiana."" Folder 273",No Author,A Shrimp Fisherman
274,yes,777,1,1,"Abbitt, Louise L., and Claude V. Dunnagan (interviewers): Reckin' I'll Be Washin' an Ironin' Till I Drop Daid","Matt Wall, [1869?), Middleton, black, washwoman, Walnut Cove, 4 April 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 274","Abbitt, Louise L., and Claude V. Dunnagan (interviewers)",Reckin' I'll Be Washin' an Ironin' Till I Drop Daid
275,yes,699,1,1,Abbitt and Dunnagan (interviewers): Life History of Mrs. Jim Shelton,"Mrs. McCabe, no date given, Peters Creek near Danbury, Virginia, white, widow, Walnut Cove, 23 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 275",Abbitt and Dunnagan (interviewers),Life History of Mrs. Jim Shelton
276,yes,669,1,1,"Abbitt, Louise L. (interviewer): The Holiness Preacher","Robah Bowden, no date given, no place given, white, janitor, holiness preacher; Lola Bowden, no date given, no place given, white, housewife, Pine Hill, 3 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 276","Abbitt, Louise L. (interviewer)",The Holiness Preacher
277,yes,682,1,1,"Abner, John H., and George L. Andrews (interviewers): Cotton in the Blood","Wade Hampton Taylor, 1883, Memphis, Tennessee, white, hotel manager and cotton man, Gastonia, 23 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 277","Abner, John H., and George L. Andrews (interviewers)",Cotton in the Blood
278,yes,676,1,1,"Abner, John H. and Edwin Massengill (interviewers): The Photographer.","Hubert W. Johnson, 1905, no place given, white, photographer, Gastonia, 5 March 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 278","Abner, John H. and Edwin Massengill (interviewers)",The Photographer.
279,yes,766,1,1,"Abner, Massengill, and W. J. Sadler (interviewers): A Quiz Kit? A Casket?","Samuel Barnwell, 1875, Alamance County, white, casket finisher and interior decorator, Gastonia 27 February 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 279","Abner, Massengill, and W. J. Sadler (interviewers)",A Quiz Kit? A Casket?
280,yes,757,1,1,"Abner, Massengill, and Sadler (interviewers): The Knitter","Ed Rutledge, 1912, Fort Worth Texas, white, knitter, Burlington, 18 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 280","Abner, Massengill, and Sadler (interviewers)",The Knitter
281,yes,756,1,1,"Abner, John H. (interviewer): Three Bibles","Joseph A. Michaels, 1868, Burke County, white, cotton mill worker, Burlington, 2 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 281","Abner, John H. (interviewer)",Three Bibles
282,yes,690,1,1,"Abner, John H. (interviewer): Up and Down","Walter Corbett, 1876, Alamance County, black, tobacco farmer, Burlington, 2 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 282","Abner, John H. (interviewer)",Up and Down
283,yes,704,1,1,"Abner and Massengill (interviewers): Tom Levine, Tailor","Sam Slatkin, 1892, Russia, Jewish, tailor, Gastonia, 10 February 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 283",Abner and Massengill (interviewers),"Tom Levine, Tailor"
284,yes,755,1,1,Abner and Massengill (interviewers): A Gambler's Philosophy,"No name given, white, gambler, no place given, 5 May 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 284",Abner and Massengill (interviewers),A Gambler's Philosophy
285,yes,763,1,1,"Anderson, George, and Massengill (interviewers): Through A Glass Darkly","Henry Brandon, no date given, no place given, white, vagrant, Yanceyville, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 285","Anderson, George, and Massengill (interviewers)",Through A Glass Darkly
286,yes,668,1,1,"Bailey, Loretto C. (interviewer): ""We Have No Slums""","Description of Greensboro slums, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 286","Bailey, Loretto C. (interviewer)","""We Have No Slums"""
287,yes,672,1,1,"Beaman, James S., and Massengill (interviewers): A Life at Sea","Captain Otto Olsen, circa 1883, Norway, Norwegian, dredge boat operator, New Bern, 4 May 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 287","Beaman, James S., and Massengill (interviewers)",A Life at Sea
288,yes,722,1,1,Beaman and Massengill (interviewers): Turkey Raising,"Pearl Arnold, circa 1875, Benter, white, poultry farmer, New Bern, 15 May 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 288",Beaman and Massengill (interviewers),Turkey Raising
289,yes,745,1,1,Beaman and Massengill (interviewers): The Cabinet-Maker,"Otis Griffin, 1880, Leesport, white, cabinet-maker, New Bern, 17 May 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 289",Beaman and Massengill (interviewers),The Cabinet-Maker
290,yes,694,1,1,"Beaman, James S. (interviewer): The Family Hickman, Colored","Needham Hickman, circa 1885, no place given, black, farmer, Croatan, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 290","Beaman, James S. (interviewer)","The Family Hickman, Colored"
291,yes,705,1,1,"Bennett, Cora (interviewer): Ups and Downs","Arthur Moore, no date given, no place given, black, pressing club operator, Charlotte, 14 July 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 291","Bennett, Cora (interviewer)",Ups and Downs
292,yes,754,1,1,"Bennett, Cora, and Mary R. Northrop (interviewers): ""I've Seen These States""","John Lowery, no date given, South Carolina, black, Pullman porter, Charlotte, 20 June 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 292","Bennett, Cora, and Mary R. Northrop (interviewers)","""I've Seen These States"""
